day,season,consumption
1,wi,12.555892358648707
2,wi,12.555892358648707
3,wi,12.555892358648707
4,wi,12.555892358648707
5,wi,12.555892358648707
6,wi,6.2779461793243545
7,wi,6.2779461793243545
8,wi,12.555892358648707
9,wi,12.555892358648707
10,wi,12.555892358648707
11,wi,12.555892358648707
12,wi,12.555892358648707
13,wi,6.2779461793243545
14,wi,6.2779461793243545
1,mc,15.694865448310887
2,mc,15.694865448310887
3,mc,15.694865448310887
4,mc,15.694865448310887
5,mc,15.694865448310887
6,mc,6.2779461793243545
7,mc,6.2779461793243545
8,mc,15.694865448310887
9,mc,15.694865448310887
10,mc,15.694865448310887
11,mc,15.694865448310887
12,mc,15.694865448310887
13,mc,6.2779461793243545
14,mc,6.2779461793243545
1,mw,15.694865448310887
2,mw,15.694865448310887
3,mw,15.694865448310887
4,mw,15.694865448310887
5,mw,15.694865448310887
6,mw,2.511178471729742
7,mw,2.511178471729742
8,mw,15.694865448310887
9,mw,15.694865448310887
10,mw,15.694865448310887
11,mw,15.694865448310887
12,mw,15.694865448310887
13,mw,2.511178471729742
14,mw,2.511178471729742
1,su,15.694865448310887
2,su,15.694865448310887
3,su,15.694865448310887
4,su,15.694865448310887
5,su,15.694865448310887
6,su,2.511178471729742
7,su,2.511178471729742
8,su,15.694865448310887
9,su,15.694865448310887
10,su,15.694865448310887
11,su,15.694865448310887
12,su,2.511178471729742
13,su,2.511178471729742
14,su,2.511178471729742
